ensemble_geneid	gene_name	Opossum_ESF1	Opossum_ESF2	Opossum_ESF3	Opossum_SF1	Opossum_SF2	Opossum_SF3
ENSMODG00000000001		0	0	0	5.18010130444988	0	0.493611825525851
ENSMODG00000000002	RPL10A	0.396580183354181	0.510069139637295	0.462830742732719	0	0	0.260609375445331
ENSMODG00000000003		0	0	0	0	0	0
ENSMODG00000000005	PRKX	11.365075947169	12.113027254911	10.8289009991722	9.80463419580791	10.872710706621	9.92313573485121
ENSMODG00000000006	C1orf106	0.176967968299325	0.130063266068636	0.0885134092989998	0.0387432309009678	0.127309789167506	0.19935948230018
ENSMODG00000000008		0	0.224852963923318	0	0.133958350629937	0.146728507830779	0.114884014619812
ENSMODG00000000011	PCDH9	0.364193820153121	0.331793818875996	0.345340195944544	42.591944058728	13.3346596615013	12.833907463623
ENSMODG00000000012	SPOCK2	1.70300887048267	1.4941971758065	1.43285201118044	2.60985344243204	2.3268073024583	2.08208026494909
ENSMODG00000000013	CLEC5A	0	0	0	0	0	0
ENSMODG00000000014		0	0	0	0	0	0
ENSMODG00000000015		0.0485408931981042	0.0416211948554305	0	0	0	0
ENSMODG00000000016		0	0	0	0	0	0
ENSMODG00000000018		0	0	0	0	0	0
ENSMODG00000000019		0	0	0	0	0	0
ENSMODG00000000020	MXRA5	11.6839246129972	11.5577067920886	16.035134723907	56.5123498728321	8.08073342985161	6.46017097104775
ENSMODG00000000021		13.5361377119926	12.8341185134714	15.7974123113724	10.7709595405448	9.61297959671144	10.4347075480991
ENSMODG00000000022		5.12836981306959	4.68214555515654	4.48275805460633	4.83643304425043	4.42618968877598	3.54743752802733
ENSMODG00000000026	CLCA2	0	0	0	0	0	0
ENSMODG00000000029		0	0	0	0	0	0
ENSMODG00000000031	ANAPC16	141.278403744122	142.553052282052	136.304293003626	153.469643435039	133.164632730922	133.869708792814
ENSMODG00000000032	BMPER	4.47418596499782	4.9145691699	6.96215931512069	15.1025996900567	5.10504834105616	5.64974643719986
ENSMODG00000000033	ARC	0.06886998522129	0	0	0.211085885841237	0.346812836690093	0.362058712740265
ENSMODG00000000034	PCDH7	40.711557536615	39.3310500720789	41.7087194103052	216.993201044242	226.14245559121	232.781797869412
ENSMODG00000000035	DDIT4	188.798162307441	181.970308361395	190.449511213219	291.255519384169	218.297857377043	223.88285913499
ENSMODG00000000036	ARSH	0.111165139188214	0.0635454028477499	0	0.511080229033669	0.248800513277296	0.146102496853168
ENSMODG00000000038	LYPD2	0	0	0	0	0	0
ENSMODG00000000040	PCDH18	66.7720913310425	67.4269627572849	67.1368310917946	61.160616599034	61.0132676905038	58.6174769357883
ENSMODG00000000041	BPIFB6	0	0	0	0	0	0.0854362969007243
ENSMODG00000000042	THEM6	0.711219024912301	0.762289887722685	1.2450471935891	0.817454970143501	0.895382388806592	1.05158627624328
ENSMODG00000000043	DNAJB12	26.6573446555514	24.2667630327348	27.7402651556214	25.4645759696805	24.8344067222984	23.8532038353892
ENSMODG00000000044	ARSE	4.13702081585194	3.54727196294228	4.70742610154512	0.316998290638638	0.115739173037557	0.226550740615121
ENSMODG00000000048		0	0	0	0	0	0
ENSMODG00000000049	ARSD	1.11960847553066	1.16571891491358	0.96442791008166	2.90051052488672	1.74512047237412	1.75176527555034
ENSMODG00000000050	BPIFB3	0	0	0	0	0	0.161963699442152
ENSMODG00000000052	MGA	8.68830935560452	8.25974392084929	8.38449920606241	9.81942324586799	8.4291422807065	8.11085009734509
ENSMODG00000000053	SLC7A11	7.2499298081466	7.3782306101031	7.35208977928705	10.1936001845722	12.730860967104	12.4656340389217
ENSMODG00000000054	MGAM	0.0755503503066474	0.0259121383586928	0	0.0231561144798155	0.0507271418138696	0.0794356568865034
ENSMODG00000000056	ODF2L	5.68826723649975	6.11343087054843	5.09256226465336	9.49343694007015	8.95966191243308	6.29826992148223
