ensemble_geneid	gene_name	Sheep_ESF1	Sheep_ESF2	Sheep_ESF3	Sheep_SF1	Sheep_SF2	Sheep_SF3
ENSOARG00000000006	ND1	3605.17656527079	3123.95220221105	4221.51397438231	4002.91888473372	3632.42706376126	3999.26703952487
ENSOARG00000000010	ND2	1086.26704821848	847.69369856862	1132.92033484196	1292.27413650071	1051.52121965228	1133.38579104519
ENSOARG00000000016	COX1	8722.73223840664	7244.01782969593	10258.3607582123	12080.962971638	11670.5982678854	12281.3175344962
ENSOARG00000000019	COX2	1.53059653233249	2.47990585114122	2.38231863345093	1.23847208382026	0.42941975258711	1.12355995577591
ENSOARG00000000021	ATP8	0	0	0	0	0	0
ENSOARG00000000022	ATP6	5434.84570433862	4101.157997412	5714.72469283445	6382.68019980748	6061.48179059259	6330.34528651144
ENSOARG00000000023	COX3	4978.0441619336	4808.07689141626	7083.92942888051	5884.26882398903	5763.31699066137	6226.53997696909
ENSOARG00000000025	ND3	0.23275411918903	0	0	0	0.282970241589276	0.317305949525373
ENSOARG00000000027	ND4L	8.13463891306886	5.33054510224778	8.97799418888546	7.74179086159611	11.2082892998978	9.98071441235447
ENSOARG00000000028	ND4	3381.91532492935	2866.40115764473	4624.92444768041	4764.60419590997	4313.978257522	4608.30154250928
ENSOARG00000000032	ND5	1508.80934123239	1199.39522974503	2016.15872137341	1957.12983148964	1893.74252379876	2064.92814654067
ENSOARG00000000033	ND6	148.406318670771	53.7575954731208	224.16929240363	192.296917091806	169.855031228254	205.228440104103
ENSOARG00000000035	CYTB	2550.13865633299	2034.41556404115	2960.91885719321	4147.04146511567	3880.75218808803	3932.81296406639
ENSOARG00000000038	FIBP	94.9964534792234	99.9231030019471	106.207349359561	151.879078367561	155.794226617919	141.888187863534
ENSOARG00000000039		0	0	0	0	0	0
ENSOARG00000000040	ACBD3	71.0198709341073	59.9581636253828	58.8323753619744	91.4401017973394	92.8561180687074	93.3904865889202
ENSOARG00000000041	DEFB132	0	0	0	0	0	0
ENSOARG00000000042	CYP2E1	1.06779269742337	0.449815858440543	1.41419478870784	0.353004658053	0.389449894948551	0.553160782864206
ENSOARG00000000043	RAB11FIP2	16.4017318943069	11.604401327279	17.4506824220751	30.7926584884521	33.0630726782639	35.2930602832292
ENSOARG00000000044	IL2	0	0	0	0	0	0
ENSOARG00000000045		0	0	0	0	0	0
ENSOARG00000000046	LHX1	0	0	0	0	0	0
ENSOARG00000000047	DEFB129	0	0	0	0	0	0
ENSOARG00000000048	PIGS	53.3049029662394	57.2016183232071	66.2467543789105	72.1226767623367	72.3740142639751	67.4484335113085
ENSOARG00000000049		0	0	0	0.0865639592611626	0	0
ENSOARG00000000050		0	0	0	0	0	0
ENSOARG00000000052		1.54277634558414	1.73308362930395	1.0216338214939	1.39099327640716	1.20040096355129	1.68257254461023
ENSOARG00000000053	HAO1	0.11208479504493	0	0	0	0	0
ENSOARG00000000054		0	0	0	0	0	0
ENSOARG00000000055	MIXL1	0	0	0	0	0	0
ENSOARG00000000056	AGTRAP	15.7710311926927	22.6167413623572	22.2205356174941	17.1439921316335	16.7258993632808	14.4096564328304
ENSOARG00000000057		0.187756102603075	0.121682611347323	0.318802519619891	0.0651092620410816	0.14047016296966	0.15751486160134
ENSOARG00000000058		0	0	0	0	3.81458585414939	0
ENSOARG00000000059		0	0	0	0	0	0
ENSOARG00000000060		0	0	0	0	0	0
ENSOARG00000000061		0	0	0	0	0	0
ENSOARG00000000062		0	0	0	0	0	0
ENSOARG00000000063	CCL22	0	0	0	0	0	0
ENSOARG00000000064		0	0	0	0	0	0
ENSOARG00000000065		31.4574071167238	33.4220583813286	34.3034878514806	26.2534087488071	25.8342691373678	26.3597905320963
ENSOARG00000000066		4.98999192533512	4.28199922523916	3.05962624681585	3.95750754887115	5.72953859217915	3.77927223875894
ENSOARG00000000067		16.3447200418901	10.4876018414041	3.98217484184997	10.8979836131427	9.60653543288135	8.26360225539432
ENSOARG00000000068		0	0	0.0762413299622911	0	0	0
ENSOARG00000000069	TIGD5	12.7415175835146	18.1973781077119	15.2243471438504	21.0285454138611	19.9919719297531	19.2258656936186
ENSOARG00000000070		0.0916188000448867	0	0	0	0	0.124900862953069
ENSOARG00000000071		0	0	0	0	0	0
ENSOARG00000000072	FOSL1	184.168791865746	206.072399521126	262.551586157897	16.7258459821412	15.9199518032758	18.3617324380204
ENSOARG00000000073		2.04139227475914	1.14660285741084	2.44078549241504	2.14731281452649	2.23363582334211	1.39148109677904
ENSOARG00000000074		0	0	0	0	0	0
ENSOARG00000000075		0	0	0	0	0	0
ENSOARG00000000076	TCF24	0.161712701284454	0	0	0	0	0
ENSOARG00000000077		56.1589519562926	66.1389369084594	74.8257981939093	40.0913276842812	37.841627767927	33.2282271233724
ENSOARG00000000078	KIT	0	0	0	0	0	0
ENSOARG00000000079		99.3239411286437	152.663004196218	128.385316900849	84.7114905329753	137.070785025856	131.745430242671
ENSOARG00000000080	CEP131	5.92153862054278	7.27560613679568	9.07701618361619	6.74785157431646	7.34907701578991	6.42447333956655
ENSOARG00000000081		5.64870582438713	5.09386066720236	5.62424539438963	3.89370704784498	3.21318718345141	3.24983365035656
ENSOARG00000000082	MARCH5	45.7311968324076	41.4640258310223	36.32881220003	48.9828346618974	54.0823505544229	57.2465262365687
ENSOARG00000000083		0.128783995585396	0	0	0.0645076839270388	0.052189607457373	0
ENSOARG00000000084	BSX	0	0	0	0	0	0
ENSOARG00000000085	ARHGAP28	30.7953773278083	27.5656648109371	38.7499955886562	48.6049535844706	49.3376667413693	44.6037629120046
ENSOARG00000000086	KRTAP3-1	0	0	0	0	0	0
ENSOARG00000000087		93.9875786087257	65.1668818916296	101.328511895798	81.6055002194427	79.5351926257665	84.0023324391537
ENSOARG00000000088	HOXD12	0.102459192416243	0	0	0	0	0
ENSOARG00000000089	GTF3C1	22.5982615536024	26.3318310893532	29.8647797081936	28.043226948392	27.3953286006158	27.8868198364768
ENSOARG00000000090	AP1M1	88.8452241796392	101.6653818908	113.124741288797	75.2166349320839	74.2546084070595	76.120676785955
ENSOARG00000000091		0.27115463043597	0.380753221588543	0	0.407462676926111	0	0
ENSOARG00000000092	SHISA5	224.244879369973	265.95612527995	323.207790799603	125.294773154575	113.895998621097	104.797501330232
ENSOARG00000000093		0.126624096288085	0	0	0	0	0
ENSOARG00000000094	DCLK3	2.20020379493117	2.14922368283107	2.51377743282446	1.93034838187696	2.15985091917264	2.25425604664348
ENSOARG00000000095	PABPC1	1657.94473118753	1265.62565448699	1474.13464380671	1467.65904381639	1425.41607304764	1436.4690792286
ENSOARG00000000096	BCLAF1	77.4363497120977	66.1787932420257	76.9972564075715	64.3528795587663	60.0475662323261	68.6810328556042
ENSOARG00000000097	SULT1C2	0	0	0	0	0	0
ENSOARG00000000098		0	0	0	0.517164166867678	0.418408989700732	0
ENSOARG00000000099	TOP3A	17.481246721905	17.6292310569879	22.2168815251546	17.3534474463097	16.9056222281475	19.8957770278511
ENSOARG00000000100	MED8	29.1310457965184	27.9219029165068	21.0317826832249	20.4682084708835	19.4606670098576	22.7708151037836
ENSOARG00000000101		0	0	0	0	0	0
ENSOARG00000000102		0	0	0	0	0	0
ENSOARG00000000103		98.2429890365195	91.5759587109863	109.726963896208	103.304502889291	108.236748099595	103.833539313757
ENSOARG00000000104		0	0	0	1.21319714333164	0.981530863057418	1.92610278133013
ENSOARG00000000105		0.639150200312554	0.448744868301404	0.783793143474218	0.160074623077969	0.12950754443079	0.290444070201353
