ensemble_geneid	gene_name	Cat_ESF1	Cat_ESF2	Cat_ESF3	Cat_SF1	Cat_SF2	Cat_SF3
ENSFCAG00000000001	INTS6L	9.14866382530593	8.37199117345964	9.13553471571405	5.14082045809056	5.59227396903515	8.40569711862215
ENSFCAG00000000006		0	0	0	0	0	0
ENSFCAG00000000007	HMGCR	30.8150755481954	25.6686535885625	25.4820525236265	144.463572813142	114.194650230065	222.896169712452
ENSFCAG00000000015	CEP192	6.65373994971908	6.25528583256012	3.75222652483842	9.56007367250921	9.02495284073193	10.2134470203568
ENSFCAG00000000021	FAM98B	24.2092737221487	22.7028425166526	20.8045642540123	32.6248168899487	30.4365898616298	30.5327157947587
ENSFCAG00000000022	RASGRP1	1.79216292256036	1.47647106991803	1.30764842641127	0.155259535991515	0.0708416606980499	0.249728524940416
ENSFCAG00000000023		0.36433084223163	0.244690341734041	0	0	0	0
ENSFCAG00000000024	LYPD1	0	0.363014779285984	0.147893195268515	0	0	0
ENSFCAG00000000028		207.424335931736	229.428636034004	120.549478523722	60.4213301229841	41.7109959619926	39.3502049951489
ENSFCAG00000000029	APOO	19.4721971555728	19.242470769241	24.3255670860076	21.0155629787266	20.6033045852674	20.4414743675332
ENSFCAG00000000030	CXorf58	0	0.131500251679993	0.214294221715418	0.848118417692532	0.580467893270393	1.13680275241902
ENSFCAG00000000031	C4orf19	0.290728651881633	0	0.0530324084044124	0	0.287302290608354	0
ENSFCAG00000000032	RELL1	39.9619746950243	34.2791813098606	14.8022405379786	26.200550787852	35.4613112980216	52.2046130090299
ENSFCAG00000000034	DRC1	1.12190230581926	1.84783787534455	1.84183646153521	2.71909519621132	2.37574330331707	1.62845016089525
ENSFCAG00000000035	OTOF	0	0.0387191527230418	0.0630971469048223	0	0	0
ENSFCAG00000000036	C2orf70	0	0	0	0	0	0
ENSFCAG00000000038	KAT5	15.5684511332478	10.899239724228	9.52096161723957	14.4878425484264	13.1617086878266	14.9954886883928
ENSFCAG00000000042	RNASEH2C	33.8552469330484	43.1808038673521	25.2689887843556	16.5932232871787	8.90120370148457	13.3447557634892
ENSFCAG00000000043	PPARGC1A	1.95255700120354	4.58169344233588	1.76765811530859	0.365458061894768	0.786111041389724	0.419874383431277
ENSFCAG00000000044	LRP6	41.4790889612044	38.7089811488734	15.3928043992158	44.4158669488446	48.5327263478028	63.4065469768591
ENSFCAG00000000046	MANSC1	134.004272896605	123.895255729349	95.6270521853786	139.653545499525	156.502243578305	135.708868856385
ENSFCAG00000000049		8.8336212047142	7.66531859388954	7.66620020791712	19.708558342421	19.8880491865611	34.2108464895259
ENSFCAG00000000050	TARDBP	62.4120472332194	61.2556331076033	50.2313636189275	85.9998536027239	107.031106577076	85.2876282499189
ENSFCAG00000000051	MASP2	0	0.0372996372348243	0.0303919446138393	0.060141537578798	0.0823239559197622	0
ENSFCAG00000000052	EXOSC10	39.6228010583826	30.5904343381765	28.5013879524455	43.1422425336315	48.7843120806029	49.335878945638
ENSFCAG00000000053	MTOR	18.9697879094182	16.4159156870108	13.2315962994661	23.623874372153	18.344516128004	22.8014357010374
ENSFCAG00000000055	ANGPTL7	0	0	0	0.120457398455054	0.329773064002843	0.290626094966254
