ensemble_geneid	gene_name	Rabbit_ESF1	Rabbit_ESF2	Rabbit_ESF3	Rabbit_SF1	Rabbit_SF2	Rabbit_SF3
ENSOCUG00000000001	ADH6	0	0	0	0	0	0
ENSOCUG00000000003	SLC6A13	0	0.0720575824584087	0.0870090249260604	0.0584075232499802	0	0
ENSOCUG00000000004	FGD1	10.7273612425817	8.10913056671438	9.40665065702152	8.75168625532282	8.96486724592344	9.37385024467323
ENSOCUG00000000005	MDM4	40.2778830225704	39.0050712653242	37.3672857212793	43.8316013366819	44.510242221103	48.6977724179478
ENSOCUG00000000006	INPP1	5.3911967125483	5.13163192020497	4.52436250385853	1.18843807356746	1.7578194129102	1.49153823300077
ENSOCUG00000000007	GLIPR2	46.0965400400495	34.7226335319588	44.9704493260286	16.7962292809275	12.4956283154076	17.2717676263768
ENSOCUG00000000008	CCIN	0.0637394616624684	0	0.181404214955952	0	0	0
ENSOCUG00000000009	CLTA	358.739854560859	366.00478262892	399.836566996576	298.927010145478	279.960135540211	299.639821908174
ENSOCUG00000000010	GNE	42.0308170415211	44.1882580508266	38.5208348883667	82.3089291714989	78.0727408164152	79.9693057900695
ENSOCUG00000000012		111.286823653267	112.095560691337	104.714630330133	108.942792169285	109.336317410367	90.3853643163883
ENSOCUG00000000013	RAD18	3.52622507067812	3.40759720878302	3.61286315647824	61.1701222958464	65.2381160625255	62.7980705839799
ENSOCUG00000000014	FTL	11677.3157573045	10976.4963626946	12161.7493626404	6864.11393027123	6920.54367585142	7856.38848980317
ENSOCUG00000000015	GYS1	108.409620311563	99.5776158714962	100.054176873953	75.3204085901102	76.8038379989601	77.2304859368906
ENSOCUG00000000016		0.601215100129294	0.472348992485235	0.855537138329042	6.8916720315928	6.85324087234673	5.61447695417886
ENSOCUG00000000017	LIPE	0.551251777339131	0.832354350324965	0.343191914161816	0.855690762768284	0.80196506266131	0.763053247221581
ENSOCUG00000000018		84.3698007539102	84.6808312047188	86.1670021041789	82.3288582291629	87.0046392486578	74.2755652159112
ENSOCUG00000000020	SMCHD1	15.4476797548235	13.879835756051	14.1219336117278	40.1907265396403	37.9994606156866	35.7918081094865
ENSOCUG00000000021	DNM1L	29.1398544321769	29.8059348026096	28.9669609945197	62.0641031779731	63.4653499232104	58.9079955207998
ENSOCUG00000000022	YARS2	35.577968241824	36.7612310335106	37.3317024431968	47.236516008016	47.588150762193	41.0614368719786
ENSOCUG00000000023	PKP2	11.4829844962764	10.9990465112054	11.4159243290618	22.7895387854399	22.4661532441876	24.2974691923432
ENSOCUG00000000024	CENPN	3.00895843372293	2.12760896368095	3.62305150647632	53.9038782945117	54.1956296387983	46.1623129663473
ENSOCUG00000000025	SLCO2A1	7.68131175640837	6.55641082581015	7.08465429874311	2.40054428773299	2.99766755940148	2.58494810182132
ENSOCUG00000000026	NR0B1	0	0	0	0	0	0
ENSOCUG00000000028	ZNF503	111.730911968032	96.165892411199	108.293261275218	28.7811441319482	27.2634855867543	34.4919674752736
ENSOCUG00000000030	SLC17A5	16.0586599770294	15.9071486714475	15.5020911762696	19.3614524874596	20.1677759612742	18.3375255420854
ENSOCUG00000000031	PBK	3.71938505701559	4.24626632976377	3.6387551352916	46.0768451991098	44.1897370836589	37.2272096730899
ENSOCUG00000000032	NUGGC	0.0630025892732764	0.0494984400105412	0.0896535282008486	0.0200609095331419	0	0.143112842419885
ENSOCUG00000000034	ELP3	13.5418160694409	14.8345368875002	13.9906826992579	24.074096845428	23.1662442082795	22.3030589356694
ENSOCUG00000000036		0	0	0	0	0	0
ENSOCUG00000000038	CREBRF	19.2808243625882	17.9569136027186	15.4376257710586	2.26101557603294	2.2106187499479	2.4082829449488
ENSOCUG00000000040	BNIP1	20.6565956673759	20.8658620435431	20.2962798842635	46.6678661314406	47.4885758469799	45.9912666066975
ENSOCUG00000000041	NKX2-5	0	0	0	0	0	0
ENSOCUG00000000044	C11orf65	0	0	0	0	0	0
