ensemble_geneid	gene_name	Pig_SF1	Pig_SF2	Pig_SF3
ENSSSCG00000000001		11.8104212399856	8.17695161664531	8.47815304421515
ENSSSCG00000000002	GTSE1	2.95200445698555	3.05096089503865	2.16081831130114
ENSSSCG00000000003	TTC38	13.9635474804474	14.6588485182556	15.2687143062023
ENSSSCG00000000004	PKDREJ	1.29726680689223	1.15525671313628	1.60454934788833
ENSSSCG00000000005		6.53748259141773	4.99447990337603	6.52023310855777
ENSSSCG00000000006	PPARA	5.8218803041177	5.38397312465047	5.73523358536888
ENSSSCG00000000007	TRMU	5.73191306040762	4.2054300997381	4.3486060636078
ENSSSCG00000000010		33.0251428633476	29.0747680160328	55.708823339361
ENSSSCG00000000011		0	0	0
ENSSSCG00000000013	SMC1B	0.0245930591394991	0.0235855730401163	0
ENSSSCG00000000014		17.8203353005813	14.9540146781613	17.5739927167137
ENSSSCG00000000015	UPK3A	5.60377789511883	5.03832372339088	4.61564869966562
ENSSSCG00000000016		0.0843161025886782	0.0808619856839471	0.0775238153690818
ENSSSCG00000000017		0	0	0
ENSSSCG00000000018		55.9362498292099	46.0171932103149	40.530147518211
ENSSSCG00000000019		20.9570363923857	20.9160709012378	18.1583867794229
ENSSSCG00000000020	PHF21B	0.962437463694629	0.284003071670179	0.612627223891963
ENSSSCG00000000021	ARHGAP8	0.255529412947074	0.0612653309901124	0.0587361560322001
ENSSSCG00000000022	RTL6	22.6768157911748	18.5456964166569	23.2804017553793
ENSSSCG00000000023		0	0	0
ENSSSCG00000000024	PARVB	13.8240256163023	15.2137618313972	10.4183588980109
ENSSSCG00000000025	PARVG	0	0	0
ENSSSCG00000000026	SULT4A1	0	0	0.0908267185981033
ENSSSCG00000000028	EFCAB6	0.439138666704486	0.463263668968931	0.464327209807808
ENSSSCG00000000029	SCUBE1	14.9592120898843	10.2566359117758	16.5742294067479
ENSSSCG00000000031	MCAT	16.8517138496125	13.7880150083017	15.0607796229287
ENSSSCG00000000033	TSPO	365.692972022921	349.0286673282	346.607717175948
ENSSSCG00000000034		132.828917507841	124.994356785396	131.838214312932
ENSSSCG00000000035	TTLL1	42.9289413751751	39.2180147231764	41.0671406594277
ENSSSCG00000000036	PACSIN2	62.2484649569738	60.1299315646423	59.3025843712826
ENSSSCG00000000037	ARFGAP3	126.737452552618	122.510958557004	126.01532362335
ENSSSCG00000000038	CYB5R3	541.847897022192	512.521804758489	628.992689625345
ENSSSCG00000000039	POLDIP3	71.9394562617194	74.3460911656849	63.0452034917448
ENSSSCG00000000040	SEPT3	3.73365416327895	4.62959224061002	16.2975141376055
ENSSSCG00000000041	WBP2NL	0	0	0
ENSSSCG00000000042		21.9867205826242	19.0324999046304	28.330548836588
ENSSSCG00000000045		1.32016513838851	1.34521306662029	1.13795254520748
ENSSSCG00000000046	CYP2D25	0.242977634628077	0.23302374528217	0.111701992309029
ENSSSCG00000000047		7.38076535923972	7.41546967662341	3.71624689674787
ENSSSCG00000000050		6.48333526701412	6.2954588660173	7.22777863096174
ENSSSCG00000000056		0	0	0
ENSSSCG00000000057	C22orf46	0	0	0
ENSSSCG00000000058	SNU13	144.519637789839	155.613272972598	138.461125270506
ENSSSCG00000000059	XRCC6	56.7213723390521	55.7402905769288	62.7599931658528
ENSSSCG00000000060	DESI1	45.7877633849611	40.0527589284763	37.8992974132091
ENSSSCG00000000061	PMM1	18.8181660822457	14.162082721641	18.8642295464403
ENSSSCG00000000062	CSDC2	15.1696018801595	11.2382609719125	11.4384898734391
ENSSSCG00000000063	POLR3H	4.24288866397456	4.40816274939245	5.46152953286593
ENSSSCG00000000064	ACO2	80.381351134576	72.707577005245	80.9369727368438
ENSSSCG00000000066	L3MBTL2	10.029648249565	9.90733401711529	10.0648112703523
ENSSSCG00000000067	CHADL	1.76013231410135	1.57293354580635	1.58156013750587
ENSSSCG00000000068	EP300	38.0327846887941	39.6100860687738	39.8007127535693
ENSSSCG00000000071	ST13	395.401295455271	417.617307586704	402.964436496933
ENSSSCG00000000072	SLC25A17	74.8303421886913	71.5382554525557	59.3534397852089
ENSSSCG00000000073		0.267113413001344	0	0
ENSSSCG00000000074	MCHR1	0	0.0904557805956247	0
ENSSSCG00000000075	MKL1	19.0951173509617	19.5337188946142	18.5601134442389
ENSSSCG00000000076	SGSM3	13.5118773242844	12.8459903993535	14.3982126144678
ENSSSCG00000000077		34.7819607684328	30.81197192041	36.08134915306
ENSSSCG00000000078		10.6911156681773	9.42500218358648	10.5103962886041
ENSSSCG00000000079		0.186647571196685	0.179001314893174	0.228815633933876
ENSSSCG00000000080	GRAP2	0.0472043024860601	0.0905410358083135	0.0868032918552811
ENSSSCG00000000081	ENTHD1	0.219304936782191	0.157740622319073	0.0504095745256902
ENSSSCG00000000082	CACNA1I	0.439405395100276	0.502443936016601	0.481701885002563
ENSSSCG00000000083	RPS19BP1	37.9406668830135	29.6888861402285	33.1592187927362
ENSSSCG00000000084	ATF4	894.68785194985	882.699070345606	854.750537396552
ENSSSCG00000000086		0.118401335550555	0	0.2177264601853
ENSSSCG00000000087	TAB1	42.443868591283	37.0176979767446	45.2686523236945
ENSSSCG00000000089	RPL3	1685.43415158751	1546.53663378617	1492.15941279443
ENSSSCG00000000090	CBX7	2.38494118751088	4.06620270867777	4.02016356842114
ENSSSCG00000000091	APOBEC3H	6.65735116758088	7.12131168401458	6.73315738760485
