ensemble_geneid	gene_name	Human_ESF1	Human_ESF2	Human_ESF3	Human_ESF4	Human_SF1	Human_SF2	Human_SF3
ENSG00000000003	TSPAN6	28.8799883767504	29.3199818485736	23.4427311141244	22.938619801526	21.1504909509846	25.5090471460403	24.0498030080484
ENSG00000000005	TNMD	0	0	0	0	0	0	0
ENSG00000000419	DPM1	28.2824705405127	27.1923013939995	28.6359475940569	30.6356194211154	28.5230236339539	33.6655113146385	31.1379690577419
ENSG00000000457	SCYL3	2.90828860076516	2.75649674342109	2.7918489212036	2.51921838322114	4.74474364790952	5.74102824632054	5.99266627957663
ENSG00000000460	C1orf112	9.91172668177577	10.5806589203232	10.6424864435628	11.1676037391194	4.162070901602	3.68066643144968	4.24760703077941
ENSG00000000938	FGR	0	0	0.0459056344521343	0	0	0	0.0177546591093636
ENSG00000000971	CFH	9.15228562380673	9.38448961991757	9.30137841102128	8.57132821664709	29.9206509862138	40.8172456390542	36.6662236732081
ENSG00000001036	FUCA2	120.026152385089	117.878946420643	120.091755787194	117.6421986165	50.6550220936459	47.8299631595128	110.178211389299
ENSG00000001084	GCLC	72.795129024756	74.7856767588539	74.8390968103726	75.7555283028181	58.0664474568332	51.4497704145217	34.6536149198644
ENSG00000001167	NFYA	15.7739223599384	16.3651564107546	14.4394364968427	15.4434940706811	23.5170270531514	24.7317482417734	21.2761372141485
ENSG00000001460	STPG1	20.9573982455513	20.7055915835149	33.6991725559313	32.8294872518384	23.6898726888177	22.5135826053354	24.1632274289513
ENSG00000001461	NIPAL3	71.1366692600178	69.2665261156854	152.217080696094	147.865924187744	132.784648850333	148.881870664545	121.990976020525
ENSG00000001497	LAS1L	11.9259196997267	11.3977558973823	12.3454122778251	12.2953126706827	18.2002654329222	20.3435884174747	18.9035552127399
ENSG00000001561	ENPP4	0.137614058406122	0.168021248497305	0.0299210773686601	0.0153345053793716	0.00723789221338115	0.00927682017517134	0.162013650238821
ENSG00000001617	SEMA3F	2.22237147794424	1.95605249676983	6.81442414200496	7.77213677453872	6.97725076578426	5.20892461722331	7.5521225575116
ENSG00000001626	CFTR	0.185519705984313	0.15532259910758	0.0806741628068477	0.124036146990487	0	0	0
ENSG00000001629	ANKIB1	136.551356205117	136.930405447469	155.267078210108	146.751803277428	137.540514475728	172.466608484549	149.881246889941
ENSG00000001630	CYP51A1	12.709465801521	12.195007279282	13.5374917106061	12.8892984070724	11.2662104030984	7.85531824139679	10.8559163715934
ENSG00000001631	KRIT1	37.1056376097885	39.1019246161791	41.3314922617211	40.7298896230993	63.5345037642826	77.0766131163432	65.6221032554267
